"id","name","categoryId","ingredients","allergens","available"
"1","Bánh Cupcake Hoa Hồng","1","Đường cát, Bột ca cao, Bột bánh, Baking Soda, Muối, Bơ, Trứng, Sữa, Kem chua, Chiết xuất Vanilla, Chất tạo màu thực phẩm, Bột mì, Dầu Canola, Bột nở, Đường bánh kẹo, Lòng trắng trứng","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"2","Bánh Cupcake Confetti","1","Đường cát, Bột ca cao, Bột bánh, Baking Soda, Muối, Bơ, Trứng, Sữa, Kem chua, Chiết xuất Vanilla, Chất tạo màu thực phẩm, Bột mì, Dầu Canola, Bột ca cao, Bột nở, Hạt Sô-cô-la 65%, Đường bánh kẹo, Bông đường, Lòng trắng trứng, Chất tạo màu thực phẩm","null","true"
"3","Bánh Cupcake Cổ điển","1","Đường cát, Bột ca cao, Bột bánh, Baking Soda, Muối, Bơ, Trứng, Sữa, Kem chua, Chiết xuất Vanilla, Chất tạo màu thực phẩm, Bột mì, Dầu Canola, Bột ca cao, Bột nở, Hạt Sô-cô-la 65%, Đường bánh kẹo, Bông đường, Lòng trắng trứng","null","true"
"4","Bánh Cupcake Cổ điển hương Sô-cô-la","1","Bột mì, Đường cát, Dầu Canola, Bột ca cao, Bột nở, Baking Soda, Muối, Sữa, Trứng, Chiết xuất Vanilla, Hạt Sô-cô-la 65%, Đường bánh kẹo, Bông đường","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"5","Bánh Cupcake Halloween","1","Đường cát, Bột ca cao, Bột bánh, Baking Soda, Muối, Bơ, Trứng, Sữa, Kem chua, Chiết xuất Vanilla, Chất tạo màu thực phẩm, Bột mì, Dầu Canola, Bột ca cao, Bột nở, Hạt Sô-cô-la 65%, Đường bánh kẹo, Bông đường, Lòng trắng trứng","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"6","Bánh Cupcake Nhung đỏ","1","Đường cát, Bột ca cao, Bột bánh, Baking Soda, Muối, Bơ, Trứng, Sữa, Kem chua, Giấm rượu táo, Chiết xuất Vanilla, Chất tạo màu thực phẩm, Bột mì","null","true"
"7","Bánh Cupcake hương Vanilla","1","Đường cát, Bột mì, Bột ca cao, Bột nở, Baking Soda, Muối, Trứng, Sữa, Chiết xuất Vanilla, Dầu Canola, Nước, Đường bánh kẹo, Sữa, Bông đường, Chất tạo màu thực phẩm","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"8","Bánh Cupcake sinh nhật","1","Đường cát, Bột ca cao, Bột bánh, Baking Soda, Muối, Bơ, Trứng, Sữa, Kem chua, Chiết xuất Vanilla, Chất tạo màu thực phẩm, Bột mì, Dầu Canola, Bột ca cao, Bột nở, Hạt Sô-cô-la 65%,","null","true"
"9","Bánh Cheesecake Đậu Vanilla","2","Kem phô mai, Đường cát, Chiết xuất Vanilla, Trứng, Nước chanh tây, Kem béo, Sữa, Bánh quy giòn Graham, Bơ","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"10","Bánh Cheesecake chanh","2","Kem phô mai, Đường cát, Chiết xuất Vanilla, Trứng, Nước chanh tây, Kem béo, Bánh quy giòn Graham, Bơ, Muối, Nước chanh ta","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"11","Bánh Cheesecake Việt quất","2","Kem phô mai, Đường cát, Chiết xuất Vanilla, Trứng, Nước chanh tây, Kem béo, Sữa, Bánh quy giòn Graham, Bơ, Việt quất, Vỏ chanh, Bột ngô, Nước, Đường nâu","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"12","Bánh Cheesecake Caramel Hồ đào","2","Kem phô mai, Đường cát, Chiết xuất Vanilla, Trứng, Nước chanh tây, Kem béo, Sữa, Bánh quy giòn Graham, Bơ, Đường Caramel, Hồ đào","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten, Nuts","true"
"14","Bánh Cheesecake Nhung đỏ","2","Kem phô mai, Vanilla Sugar, Bột ca cao, Trứng, Chất tạo màu thực phẩm, Chiết xuất Vanilla, Muối, Kem chua, Kem béo, Bánh quế Sô-cô-la, Sô-cô-la bào","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"15","Bánh kem vanilla","4","Bột mì, Đường cát, Dầu Canola, Bột ca cao, Bột nở, Baking Soda, Muối, Sữa, Trứng, Chiết xuất Vanilla, Hạt Sô-cô-la 65%, Đường bánh kẹo, Bông đường","null","true"
"16","Bánh kem cà rốt","4","Bột mì, Cinnamon, Bột nở, Baking Soda, Muối, Trứng, Đường cát, Dầu Canola, Cà rốt, Dứa, nho khô, Dừa ngọt, Quả óc chó, Kem phô mai","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten, Quả hạch","true"
"17","Bánh kem Sô-cô-la","4","Bột mì, Đường cát, Dầu Canola, Bột ca cao, Bột nở, Baking Soda, Muối, Sữa, Trứng, Chiết xuất Vanilla, Đường bánh kẹo, Chất tạo màu thực phẩm, Bông đường","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"18","Bánh kem Confetti","4","Bột bánh, Đường cát, Bơ, Bột nở, Baking Soda, Muối, Sữa, Kem chua, Lòng trắng trứng, Chiết xuất Vanilla, Đường bánh kẹo, Hạt Sô-cô-la 65%, Bông đường","null","true"
"19","Bánh kem Hummingbird","4","Bột mì, Baking Soda, Muối, Quế, Chuối, Trứng, Đường cát, Dầu Canola, Pineapple, Chiết xuất Vanilla, Pecans, Kem phô mai, Đường bánh kẹo","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten, Quả hạch","true"
"20","Bánh kem Nhung đỏ","4","Đường cát, Bột ca cao, Bột bánh, Baking Soda, Muối, Bơ, Trứng, Sữa, Kem chua, Giấm rượu táo, Chiết xuất Vanilla, Chất tạo màu thực phẩm, Bột mì","null","true"
"21","Bánh kem Kẹo ngô","4","Bột bánh, Đường cát, Bơ, Bột nở, Baking Soda, Muối, Sữa, Kem chua, Lòng trắng trứng, Chiết xuất Vanilla, Đường bánh kẹo, Chất tạo màu thực phẩm, Bông đường","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"22","Bánh Icebox Việt quất","3","Bơ, Bột mì, Pecans, Kem béo, Kem phô mai, Đường bánh kẹo, Bột ngô, Việt quất, Đường cát, Đường nâu, Vỏ chanh","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"23","Bánh Icebox Bơ đậu phụng","3","Nilla Wafers, Bơ, Đường nâu, Kem phô mai, Đậu phộng Bơ, Đường bánh kẹo, Chiết xuất Vanilla, Kem béo, Đường Caramel, Cốc bơ đậu phộng, Đậu phộng","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"24","Bánh Icebox Kem chuối","3","Nilla Wafers Crumbs, Bơ, Kem béo, Chuối, Nước, Sữa đặc có đường, Jello Instant Vanilla Pudding, Đường cát","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"25","Bánh Icebox Chanh","3","Bánh quy giòn Graham Crumbs, Bơ, Đường nâu, Sữa đặc có đường, Trứng, Nước chanh ta, Vỏ chanh ta, Kem béo, Đường cát, Chiết xuất Vanilla","null","true"
"26","Bánh Icebox Snicker","3","Bánh quế Sô-cô-la Crumbs, Bơ, Đường nâu, Kem béo, Kem phô mai, Đường bánh kẹo, Bơ đậu phộng, Thanh Snicker","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Chất Gluten","true"
"27","Bánh Pudding chuối cổ điển","5","Kem béo, Sữa đặc có đường, Pudding Vanilla ăn liền, Nước, Bánh quy wafer Nilla, Chuối","Lúa mì, Sữa, Trứng, Sản phẩm bơ sữa, Gluten","true"
"30","Bánh Pudding chuối cổ điển không chứa gluten","5","Kem béo, Sữa đặc có đường, Pudding Vanilla ăn liền, Nước, Bánh quy wafer GF, Chuối","Sữa, Trứng, Sản phẩm bơ sữa","true"
"31","Bánh Pudding chuối Sô-cô-la hạt phỉ","5","Kem béo, Sữa đặc có đường, Pudding Vanilla ăn liền, Nước, Nilla Wafers, Chuối, Hạt phỉ","null","true"
